,sourceIP,destIP,numOfRequest,time,acceptanceRate,is_attack,is_attack_supervised,likelihood
9602,172.16.1.196,172.16.1.52,431.0,1612983340.0,100.0,1,1.0,0.17883817427385892
9605,172.16.1.52,172.16.1.196,431.0,1612983340.0,100.0,1,1.0,0.17883817427385892
9612,172.16.1.196,172.16.1.52,632.0,1612983341.0,100.0,1,1.0,0.26224066390041495
9615,172.16.1.52,172.16.1.196,632.0,1612983341.0,100.0,1,1.0,0.26224066390041495
12652,172.16.1.52,172.16.1.196,1250.0,1612984328.0,100.0,1,1.0,0.5186721991701245
12651,172.16.1.196,172.16.1.52,1250.0,1612984328.0,100.0,1,1.0,0.5186721991701245
12637,172.16.1.52,172.16.1.196,1308.0,1612984325.0,100.0,1,1.0,0.5427385892116182
12635,172.16.1.196,172.16.1.52,1308.0,1612984325.0,100.0,1,1.0,0.5427385892116182
12626,172.16.1.52,172.16.1.196,830.0,1612984321.0,100.0,1,1.0,0.34439834024896265
12625,172.16.1.196,172.16.1.52,830.0,1612984321.0,100.0,1,1.0,0.34439834024896265
9652,172.16.1.196,172.16.1.52,606.0,1612983348.0,100.0,1,1.0,0.25145228215767634
9653,172.16.1.52,172.16.1.196,606.0,1612983348.0,100.0,1,1.0,0.25145228215767634
12686,172.16.1.52,172.16.1.196,920.0,1612984340.0,100.0,1,1.0,0.3817427385892116
9568,172.16.1.52,172.16.1.196,662.0,1612983329.0,100.0,1,1.0,0.27468879668049795
9566,172.16.1.196,172.16.1.52,662.0,1612983329.0,100.0,1,1.0,0.27468879668049795
9490,172.16.1.52,172.16.1.196,602.0,1612983236.0,100.0,1,1.0,0.24979253112033195
12819,172.16.1.196,172.16.1.52,644.0,1612984368.0,100.0,1,1.0,0.2672199170124481
9458,172.16.1.196,172.16.1.52,664.0,1612983229.0,100.0,1,1.0,0.27551867219917014
9460,172.16.1.52,172.16.1.196,664.0,1612983229.0,100.0,1,1.0,0.27551867219917014
12797,172.16.1.52,172.16.1.196,627.0,1612984364.0,100.0,1,1.0,0.26016597510373446
12790,172.16.1.196,172.16.1.52,627.0,1612984364.0,100.0,1,1.0,0.26016597510373446
9487,172.16.1.196,172.16.1.52,602.0,1612983236.0,100.0,1,1.0,0.24979253112033195
12736,172.16.1.52,172.16.1.196,698.0,1612984353.0,100.0,1,1.0,0.28962655601659754
9550,172.16.1.52,172.16.1.196,878.0,1612983325.0,100.0,1,1.0,0.3643153526970954
12734,172.16.1.196,172.16.1.52,698.0,1612984353.0,100.0,1,1.0,0.28962655601659754
9529,172.16.1.196,172.16.1.52,444.0,1612983320.0,100.0,1,1.0,0.18423236514522823
9530,172.16.1.52,172.16.1.196,444.0,1612983320.0,100.0,1,1.0,0.18423236514522823
12720,172.16.1.52,172.16.1.196,1266.0,1612984348.0,100.0,1,1.0,0.5253112033195021
12718,172.16.1.196,172.16.1.52,1266.0,1612984348.0,100.0,1,1.0,0.5253112033195021
9549,172.16.1.196,172.16.1.52,878.0,1612983325.0,100.0,1,1.0,0.3643153526970954
9255,172.16.1.196,172.16.1.52,851.0,1612983161.0,100.0,1,1.0,0.35311203319502077
13124,172.16.1.52,172.16.1.196,599.0,1612984449.0,100.0,1,1.0,0.24854771784232366
13708,172.16.1.196,172.16.1.52,1446.0,1612984601.0,100.0,1,1.0,0.6
8939,172.16.1.52,172.16.1.196,1224.0,1612983056.0,100.0,1,1.0,0.5078838174273859
13511,172.16.1.196,172.16.1.52,659.0,1612984549.0,100.0,1,1.0,0.27344398340248965
8957,172.16.1.196,172.16.1.52,742.0,1612983080.0,100.0,1,1.0,0.3078838174273859
